policy,n_seeds,mean,sd,se,ci95_low,ci95_high
table,20,-1.4395830273628234,0.0126700118599154,0.0028331007794499376,-1.4451359048905452,-1.4340301498351016
data,20,-3.3592491865158083,0.021141173710926223,0.004727310154176252,-3.368514714417994,-3.3499836586136227
all,20,-2.6664562821388245,0.01870392418541854,0.004182324592459823,-2.674653638340046,-2.658258925937603
none,20,-3.9671371459960936,0.018238271297043886,0.004078201441227339,-3.975130420820899,-3.959143871171288
